tile_id,tile_key,image_id,h0,w0,height,width
0,000_00096_00000,000,96,0,96,96
1,000_00096_00024,000,96,24,96,96
2,000_00096_00048,000,96,48,96,96
3,000_00096_00072,000,96,72,96,96
4,000_00096_00096,000,96,96,96,96
5,000_00096_00120,000,96,120,96,96
6,000_00096_00144,000,96,144,96,96
7,000_00096_00168,000,96,168,96,96
8,000_00096_00192,000,96,192,96,96
9,000_00096_00216,000,96,216,96,96
10,000_00096_00240,000,96,240,96,96
11,000_00096_00264,000,96,264,96,96
12,000_00096_00288,000,96,288,96,96
13,000_00120_00000,000,120,0,96,96
14,000_00120_00024,000,120,24,96,96
15,000_00120_00048,000,120,48,96,96
16,000_00120_00072,000,120,72,96,96
17,000_00120_00096,000,120,96,96,96
18,000_00120_00120,000,120,120,96,96
19,000_00120_00144,000,120,144,96,96
20,000_00120_00168,000,120,168,96,96
21,000_00120_00192,000,120,192,96,96
22,000_00120_00216,000,120,216,96,96
23,000_00120_00240,000,120,240,96,96
24,000_00120_00264,000,120,264,96,96
25,000_00120_00288,000,120,288,96,96
26,000_00144_00000,000,144,0,96,96
27,000_00144_00024,000,144,24,96,96
28,000_00144_00048,000,144,48,96,96
29,000_00144_00072,000,144,72,96,96
30,000_00144_00096,000,144,96,96,96
31,000_00144_00120,000,144,120,96,96
32,000_00144_00144,000,144,144,96,96
33,000_00144_00168,000,144,168,96,96
34,000_00144_00192,000,144,192,96,96
35,000_00144_00216,000,144,216,96,96
36,000_00144_00240,000,144,240,96,96
37,000_00144_00264,000,144,264,96,96
38,000_00144_00288,000,144,288,96,96
39,000_00168_00000,000,168,0,96,96
40,000_00168_00024,000,168,24,96,96
41,000_00168_00048,000,168,48,96,96
42,000_00168_00072,000,168,72,96,96
43,000_00168_00096,000,168,96,96,96
44,000_00168_00120,000,168,120,96,96
45,000_00168_00144,000,168,144,96,96
46,000_00168_00168,000,168,168,96,96
47,000_00168_00192,000,168,192,96,96
48,000_00168_00216,000,168,216,96,96
49,000_00168_00240,000,168,240,96,96
50,000_00168_00264,000,168,264,96,96
51,000_00168_00288,000,168,288,96,96
52,000_00192_00000,000,192,0,96,96
53,000_00192_00024,000,192,24,96,96
54,000_00192_00048,000,192,48,96,96
55,000_00192_00072,000,192,72,96,96
56,000_00192_00096,000,192,96,96,96
57,000_00192_00120,000,192,120,96,96
58,000_00192_00144,000,192,144,96,96
59,000_00192_00168,000,192,168,96,96
60,000_00192_00192,000,192,192,96,96
61,000_00192_00216,000,192,216,96,96
62,000_00192_00240,000,192,240,96,96
63,000_00192_00264,000,192,264,96,96
64,000_00192_00288,000,192,288,96,96
65,000_00216_00120,000,216,120,96,96
66,000_00216_00144,000,216,144,96,96
67,001_00000_00000,001,0,0,96,96
68,002_00000_00216,002,0,216,96,96
69,002_00000_00240,002,0,240,96,96
70,002_00000_00264,002,0,264,96,96
71,002_00000_00288,002,0,288,96,96
72,002_00024_00192,002,24,192,96,96
73,002_00024_00216,002,24,216,96,96
74,002_00024_00240,002,24,240,96,96
75,002_00024_00264,002,24,264,96,96
76,002_00024_00288,002,24,288,96,96
77,002_00048_00192,002,48,192,96,96
78,002_00048_00216,002,48,216,96,96
79,002_00048_00240,002,48,240,96,96
80,002_00048_00264,002,48,264,96,96
81,002_00048_00288,002,48,288,96,96
82,002_00072_00168,002,72,168,96,96
83,002_00072_00192,002,72,192,96,96
84,002_00072_00216,002,72,216,96,96
85,002_00072_00240,002,72,240,96,96
86,002_00072_00264,002,72,264,96,96
87,002_00072_00288,002,72,288,96,96
88,002_00096_00144,002,96,144,96,96
89,002_00096_00168,002,96,168,96,96
